t;aceleracao;censura
8;75;1
109;75;1
219;75;1
423;75;1
514;75;1
973;75;1
1013;75;1
1100;75;1
1246;75;1
1503;75;1
1607;75;1
8;95;1
67;95;1
155;95;1
160;95;1
161;95;1
196;95;1
204;95;1
308;95;1
518;95;1
523;95;1
551;95;1
560;95;1
639;95;1
734;95;1
802;95;1
855;95;1
943;95;1
1236;95;1
1266;95;1
1287;95;1
1307;95;1
1351;95;1
1379;95;1
1521;95;1
1607;95;1
1639;95;1
1653;95;1
1;115;1
11;115;1
11;115;1
12;115;1
24;115;1
32;115;1
59;115;1
63;115;1
75;115;1
81;115;1
84;115;1
86;115;1
130;115;1
133;115;1
135;115;1
142;115;1
142;115;1
195;115;1
202;115;1
215;115;1
224;115;1
239;115;1
299;115;1
352;115;1
362;115;1
365;115;1
382;115;1
390;115;1
471;115;1
570;115;1
584;115;1
600;115;1
730;115;1
850;115;1
202;115;1
224;115;1
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;75;0
1680;95;0
1680;95;0
1680;95;0
1680;95;0
1680;95;0
1680;95;0
1680;95;0
1680;95;0
1680;95;0
1680;95;0
1680;95;0
1680;95;0
1680;95;0
1680;115;0
